AgentID,Agent,Hire Date,Exit Date,Gender,Employment Status,Hire Year,Team,Team Leader
AG001,Ahmed Mohamed,2021-01-01,2022-04-17,Male,Resigned,2021,Team A,Mohamed Hassan
AG002,Karim Nabil,2021-01-01,2022-02-07,Male,Resigned,2021,Team A,Mohamed Hassan
AG003,Mahmoud Adel,2021-01-01,,Male,Active,2021,Team A,Mohamed Hassan
AG004,Menna Wael,2021-01-01,,Female,Active,2021,Team A,Mohamed Hassan
AG005,Mostafa Ahmed,2021-01-01,,Male,Active,2021,Team A,Mohamed Hassan
AG006,Omar Hassan,2021-01-01,,Male,Active,2021,Team A,Mohamed Hassan
AG007,Sara Ali,2021-01-01,,Female,Active,2021,Team A,Mohamed Hassan
AG008,Youssef Samir,2021-01-01,,Male,Active,2021,Team A,Mohamed Hassan
AG009,Eslam Adel,2022-11-04,2023-07-11,Male,Resigned,2022,Team A,Mohamed Hassan
AG010,Rana Farouk,2022-04-05,2023-03-23,Female,Resigned,2022,Team A,Mohamed Hassan
AG011,Mahmoud Mohamed,2022-09-03,,Male,Active,2022,Team B,Ahmed Mostafa
AG012,Mohamed Fathy,2022-02-07,,Male,Active,2022,Team B,Ahmed Mostafa
AG013,Hazem Sherif,2022-04-23,,Male,Active,2022,Team B,Ahmed Mostafa
AG014,Ahmed Hamdy,2022-04-15,2023-08-19,Male,Resigned,2022,Team B,Ahmed Mostafa
AG015,Eslam Mahmoud,2022-03-23,2023-07-08,Male,Resigned,2022,Team B,Ahmed Mostafa
AG016,Youssef Tarek,2022-04-25,,Male,Active,2022,Team B,Ahmed Mostafa
AG017,Farah Mostafa,2022-02-12,2023-12-18,Female,Resigned,2022,Team B,Ahmed Mostafa
AG018,Hassan Abdelrahman,2022-01-24,,Male,Active,2022,Team B,Ahmed Mostafa
AG019,Bishoy Salem,2022-07-03,,Male,Active,2022,Team B,Ahmed Mostafa
AG020,Wael Hamdy,2022-04-23,,Male,Active,2022,Team B,Ahmed Mostafa
AG021,Aya Tarek,2022-05-03,,Female,Active,2022,Team C,Omar Ali
AG022,Bishoy Samir,2022-05-15,2023-01-25,Male,Resigned,2022,Team C,Omar Ali
AG023,Eslam Ashraf,2022-06-12,2023-12-21,Male,Resigned,2022,Team C,Omar Ali
AG024,Ibrahim Fathy,2022-11-21,2023-09-07,Male,Resigned,2022,Team C,Omar Ali
AG025,Rami Mostafa,2022-12-08,,Male,Active,2022,Team C,Omar Ali
AG026,Nour Shaban,2022-11-23,2023-10-01,Male,Resigned,2022,Team C,Omar Ali
AG027,Laila Tarek,2022-01-08,2023-05-26,Female,Resigned,2022,Team C,Omar Ali
AG028,Nour Nabil,2022-05-03,,Male,Active,2022,Team C,Omar Ali
AG029,Islam Mahmoud,2022-11-16,,Male,Active,2022,Team C,Omar Ali
AG030,Hazem Mostafa,2022-05-05,,Male,Active,2022,Team C,Omar Ali
AG031,Mazen Khaled,2022-12-19,,Male,Active,2022,Team D,Sara Ahmed
AG032,Youssef Hamdy,2022-04-05,,Male,Active,2022,Team D,Sara Ahmed
AG033,Ibrahim Fouad,2022-01-28,,Male,Active,2022,Team D,Sara Ahmed
AG034,Rami Tarek,2022-11-14,,Male,Active,2022,Team D,Sara Ahmed
AG035,Ahmed Reda,2022-10-15,,Male,Active,2022,Team D,Sara Ahmed
AG036,Habiba Hamdy,2022-12-04,,Female,Active,2022,Team D,Sara Ahmed
AG037,Hassan Ibrahim,2022-05-25,,Male,Active,2022,Team D,Sara Ahmed
AG038,Hossam Gamal,2022-07-06,,Male,Active,2022,Team D,Sara Ahmed
AG039,Yara Ibrahim,2022-03-17,,Female,Active,2022,Team D,Sara Ahmed
AG040,Amr Khaled,2022-11-17,,Male,Active,2022,Team D,Sara Ahmed
AG041,Esraa Abdelrahman,2022-03-18,,Female,Active,2022,Team E,Mahmoud Adel
AG042,Mohamed Hassan,2022-01-20,,Male,Active,2022,Team E,Mahmoud Adel
AG043,Salma Ahmed,2022-06-27,,Female,Active,2022,Team E,Mahmoud Adel
AG044,Menna Farouk,2022-04-19,,Female,Active,2022,Team E,Mahmoud Adel
AG045,Hazem Hamdy,2022-08-27,,Male,Active,2022,Team E,Mahmoud Adel
AG046,Habiba Samir,2023-03-05,,Female,Active,2023,Team E,Mahmoud Adel
AG047,Nesma Nabil,2023-05-17,,Female,Active,2023,Team E,Mahmoud Adel
AG048,Fatma Ashraf,2023-09-25,,Female,Active,2023,Team E,Mahmoud Adel
AG049,Yara Khaled,2023-05-13,,Female,Active,2023,Team E,Mahmoud Adel
AG050,Ayman Adel,2023-08-17,,Male,Active,2023,Team E,Mahmoud Adel
AG051,Wael Salem,2023-02-11,,Male,Active,2023,Team F,Mona Samir
AG052,Mostafa Adel,2023-04-01,,Male,Active,2023,Team F,Mona Samir
AG053,Menna Gamal,2023-02-02,,Female,Active,2023,Team F,Mona Samir
AG054,Fatma Fathy,2023-04-09,,Female,Active,2023,Team F,Mona Samir
AG055,Malak Salem,2023-03-24,,Female,Active,2023,Team F,Mona Samir
AG056,Nesma Nabil,2023-08-08,,Female,Active,2023,Team F,Mona Samir
AG057,Dina Sherif,2023-02-04,,Female,Active,2023,Team F,Mona Samir
AG058,Mona Reda,2023-07-15,,Female,Active,2023,Team F,Mona Samir
AG059,Mazen Farouk,2023-11-21,,Male,Active,2023,Team F,Mona Samir
AG060,Salma Nabil,2023-06-26,,Female,Active,2023,Team F,Mona Samir
AG061,Alaa Samir,2023-04-18,,Male,Active,2023,Team G,Youssef Khaled
AG062,Omar Ayman,2023-05-15,,Male,Active,2023,Team G,Youssef Khaled
AG063,Hazem Shaban,2023-09-04,,Male,Active,2023,Team G,Youssef Khaled
AG064,Salma Samir,2023-01-03,,Female,Active,2023,Team G,Youssef Khaled
AG065,Mazen Magdy,2023-07-16,,Male,Active,2023,Team G,Youssef Khaled
AG066,Rami Mostafa,2023-01-06,,Male,Active,2023,Team G,Youssef Khaled
AG067,Anas Mahmoud,2023-08-10,,Male,Active,2023,Team G,Youssef Khaled
AG068,Mostafa Salem,2023-04-10,,Male,Active,2023,Team G,Youssef Khaled
AG069,Nour Ahmed,2023-12-18,,Male,Active,2023,Team G,Youssef Khaled
AG070,Marwan Samir,2023-01-19,,Male,Active,2023,Team G,Youssef Khaled
AG071,Khaled Ali,2023-01-17,,Male,Active,2023,Team H,Nada Ashraf
AG072,Salma Tarek,2023-10-03,,Female,Active,2023,Team H,Nada Ashraf
AG073,Mahmoud Youssef,2023-02-19,,Male,Active,2023,Team H,Nada Ashraf
AG074,Malak Gamal,2023-02-14,,Female,Active,2023,Team H,Nada Ashraf
AG075,Nour Adel,2023-06-09,,Male,Active,2023,Team H,Nada Ashraf
AG076,Samir Ayman,2023-05-13,,Male,Active,2023,Team H,Nada Ashraf
AG077,Sara Ayman,2023-06-25,,Female,Active,2023,Team H,Nada Ashraf
AG078,Menna Fathy,2023-10-19,,Female,Active,2023,Team H,Nada Ashraf
AG079,Fady Magdy,2023-04-17,,Male,Active,2023,Team H,Nada Ashraf
AG080,Ibrahim Ayman,2023-02-08,,Male,Active,2023,Team H,Nada Ashraf
AG081,Marwan Mohamed,2023-09-23,,Male,Active,2023,Team I,Karim Nabil
AG082,Karim Magdy,2023-11-27,,Male,Active,2023,Team I,Karim Nabil
AG083,Karim Farouk,2023-03-09,,Male,Active,2023,Team I,Karim Nabil
AG084,Sherif Ashraf,2023-09-05,,Male,Active,2023,Team I,Karim Nabil
AG085,Mariam Gamal,2023-06-07,,Female,Active,2023,Team I,Karim Nabil
AG086,Mona Ali,2023-08-09,,Female,Active,2023,Team I,Karim Nabil
AG087,Mona Mohamed,2023-11-14,,Female,Active,2023,Team I,Karim Nabil
AG088,Hossam Samir,2023-06-25,,Male,Active,2023,Team I,Karim Nabil
AG089,Alaa Fathy,2023-12-15,,Male,Active,2023,Team I,Karim Nabil
AG090,Amr Fathy,2023-01-04,,Male,Active,2023,Team I,Karim Nabil
AG091,Amr Sherif,2023-01-27,,Male,Active,2023,Team J,Menna Wael
AG092,Mahmoud Magdy,2023-03-02,,Male,Active,2023,Team J,Menna Wael
AG093,Rana Hassan,2023-06-07,,Female,Active,2023,Team J,Menna Wael
AG094,Ziad Youssef,2023-06-25,,Male,Active,2023,Team J,Menna Wael
AG095,Salma Soliman,2023-12-05,,Female,Active,2023,Team J,Menna Wael
AG096,Nesma Mohamed,2023-03-26,,Female,Active,2023,Team J,Menna Wael
AG097,Nesma Fouad,2023-03-24,,Female,Active,2023,Team J,Menna Wael
AG098,Salma Mostafa,2023-11-28,,Female,Active,2023,Team J,Menna Wael
